,logFC,logCPM,PValue,FDR
HRC,3.696409,-4.238908,6.63E-06,2.04E-05
LOC105370596,3.696247,-3.577125,2.11E-09,1.04E-08
LOC105377577,3.696146,-4.898058,0.02297379,0.03670992
LOC105371343,3.695668,-4.896767,0.01519958,0.02523879
STPG2,3.69494,-2.142908,3.19E-12,2.11E-11
SUMO1P3,3.694444,0.5750471,1.82E-35,5.35E-34
NEUROG2,3.69432,-4.897968,0.0174889,0.02868522
LOC107985379,3.693507,-4.895482,0.0128999,0.02174941
OR4Q3,3.693221,-4.718943,0.001839069,0.00367291
LINC02168,3.6928,-4.884629,0.02385742,0.0380199
SNORA70I,3.692581,-4.899448,0.02532661,0.04011304
LINC02129,3.692463,-4.897267,0.01943469,0.03155701
LOC112268135,3.691996,-4.898372,0.01782394,0.02916922
LOC105375725,3.691797,-4.899913,0.02891582,0.04522644
SNORA18,3.691643,-4.898648,0.02290264,0.03660236
SAGE2P,3.690864,-4.899656,0.02127572,0.03426252
ZC2HC1A,3.690859,1.243039,2.57E-13,1.90E-12
LOC105372835,3.690841,-2.126675,6.09E-12,3.92E-11
LOC105378150,3.69062,-3.286376,1.99E-08,8.74E-08
LOC107987087,3.690319,-4.900437,0.02387646,0.03804764
LOC105370231,3.690177,-4.900123,0.02804361,0.04398417
LOC105378323,3.689854,-4.885219,0.0277964,0.04362951
LOC105375584,3.689081,-4.8979,0.01909937,0.03105994
LINC02400,3.68817,-4.89354,0.0104411,0.01796166
LOC105373579,3.687737,-4.900439,0.02590542,0.04091492
TNFAIP3,3.687517,6.930722,2.31E-23,3.54E-22
ZNF733P,3.687337,-4.898991,0.02203388,0.03533219
LOC105372937,3.68697,-4.642165,0.001266463,0.002614437
LOC105373949,3.686861,-4.886752,0.02580904,0.04079384
SNORD83A,3.686726,-1.900706,1.17E-14,9.71E-14
LOC107986283,3.686205,-4.898532,0.01946676,0.03160218
SLC10A5,3.68592,-4.653042,0.001737823,0.003486601
LINC01797,3.685772,-4.897944,0.01854487,0.03022286
LOC105373998,3.685751,-4.900328,0.02514463,0.03985871
MIR3175,3.685121,-2.69407,1.05E-15,9.43E-15
LOC102724906,3.684308,-4.899082,0.02130752,0.03429741
LOC105372667,3.684158,-4.900307,0.02512508,0.0398345
LOC105376415,3.683946,-4.896916,0.01605281,0.02653191
LOC105375103,3.682991,-4.900321,0.02494677,0.03958383
LOC105373017,3.682717,-3.232564,1.20E-08,5.38E-08
LOC105370482,3.682644,-4.898611,0.01861421,0.03032923
LOC107985792,3.682061,-4.901344,0.02539386,0.04020757
MIR4307HG,3.681597,-4.900291,0.02436818,0.03875493
LINC02726,3.680802,-4.599621,0.000596819,0.001308889
PDHA2,3.680638,-4.884139,0.03195153,0.04945522
TRNL2,3.680355,-4.899003,0.01854252,0.03022035
FNDC9,3.680267,0.1185209,2.30E-31,5.51E-30
LOC105371198,3.680171,-4.90005,0.02184655,0.0350605
LOC102724351,3.680148,-2.731288,6.40E-12,4.12E-11
LOC105372621,3.679961,-4.899977,0.02176316,0.03493872
LINC00343,3.67956,-4.899994,0.02173211,0.03489337
ERVV-1,3.679326,-4.901236,0.02496724,0.03961461
LOC105375947,3.679262,-3.63975,1.98E-08,8.69E-08
CCK,3.678766,-4.900093,0.02167815,0.03481575
BANF2,3.678739,-4.900213,0.02133857,0.03434147
LINC00390,3.678633,-4.899164,0.01871935,0.03048987
LOC105371950,3.6786,-4.900351,0.02138496,0.03440422
LOC101928817,3.67831,-1.154786,1.58E-16,1.53E-15
LOC107985929,3.677941,-4.900269,0.02127976,0.03426693
LOC100126584,3.677771,-4.897915,0.01566249,0.02592364
OR6K2,3.677594,-4.89941,0.01846074,0.03009892
ST6GAL2,3.677211,-2.956846,7.24E-10,3.74E-09
LOC102723516,3.676888,-4.898075,0.01568469,0.0259569
LOC105376567,3.676863,-3.905025,1.24E-07,4.89E-07
STX17-DT,3.676677,-3.706063,3.84E-09,1.83E-08
LOC107984206,3.676363,-4.900977,0.02459637,0.03908278
LINC02140,3.675991,-4.9016,0.02801369,0.04394093
LINC01029,3.675971,-4.901956,0.02895292,0.04528256
LINC00408,3.675831,-4.901197,0.02475218,0.03930185
MIR7113,3.675814,-3.181711,1.27E-09,6.38E-09
GTF2IRD1P1,3.675412,-3.645352,2.54E-11,1.54E-10
LOC107986849,3.675191,-4.900468,0.02101628,0.03389455
LOC105372157,3.67496,-4.900883,0.0223305,0.03577548
LOC105375461,3.674946,-4.899869,0.01835826,0.02995282
VN1R3,3.674328,-4.900683,0.02102118,0.03389993
LOC107986297,3.674325,-4.898391,0.01542526,0.0255753
LOC105379389,3.674251,-4.901983,0.02874124,0.04497982
CCDC185,3.674076,-4.901488,0.02201207,0.03530483
NPSR1,3.67403,-4.900045,0.01838097,0.02998331
ZBED9,3.673985,-4.900923,0.02120144,0.03415176
LY6K,3.673589,-4.900269,0.01841774,0.03003408
LOC107983961,3.673379,-4.901567,0.02416607,0.03845813
LOC101928582,3.672913,-4.900054,0.01816453,0.02966533
CTSL3P,3.672828,-4.90189,0.02513472,0.0398464
GPR158,3.672792,-3.350878,4.59E-07,1.67E-06
LOC105376041,3.672605,-4.901077,0.02156052,0.03465223
IQCF3,3.672447,-4.293117,0.000118104,0.000295828
AWAT2,3.672272,-4.725441,0.003056674,0.005859845
MAGEA4,3.672215,-4.900255,0.01823052,0.02975875
LOC105378373,3.671856,-4.901279,0.02159317,0.03469722
LOC105370461,3.671819,-0.6670299,4.56E-24,7.33E-23
LINC00160,3.671534,-4.902133,0.02519177,0.03992663
BEND6,3.671295,-2.959291,4.75E-09,2.25E-08
LOC105378387,3.670951,-4.899167,0.01545873,0.02562052
NXPE2,3.67072,-1.783343,1.11E-12,7.66E-12
LOC107985535,3.670712,-4.485053,0.000121213,0.000302962
TAT-AS1,3.670428,-4.902142,0.02467725,0.039194
LOC105371623,3.670372,-4.901261,0.02090963,0.03374008
LOC107985006,3.670169,-4.90052,0.01807371,0.02952867
HTR5A-AS1,3.670006,-4.901528,0.0210261,0.03390453
HSD3B2,3.669502,-4.900695,0.01800362,0.02943093
LOC107985829,3.669418,-4.9016,0.02104267,0.03392977
MAGEA12,3.669157,-4.901881,0.02232932,0.03577514
LOC105374520,3.669011,-4.0051,4.62E-07,1.68E-06
LINC01615,3.668952,-4.90237,0.02451385,0.03896664
LOC105371688,3.668781,-4.900828,0.01798878,0.02940796
RCAN2-DT,3.668635,-4.901004,0.01861559,0.03033016
LOC100505985,3.668585,-4.901035,0.01826214,0.02980514
LOC102723876,3.668557,-3.867706,6.23E-06,1.92E-05
SOX5-AS1,3.668456,-4.90174,0.02144272,0.03448673
LOC107985359,3.668412,-4.902538,0.02848786,0.04462455
LINC02645,3.668358,-4.901523,0.0208069,0.03359351
LOC107984254,3.668018,-3.105366,7.54E-08,3.06E-07
RESP18,3.667682,-4.901712,0.02084033,0.03363992
LINC01370,3.667488,-4.554305,0.000604524,0.001324461
KRTAP10-11,3.667425,-4.901227,0.01859609,0.03030236
LOC105377790,3.667367,-4.89984,0.01531187,0.02540879
LOC105376456,3.666989,-4.900148,0.01559948,0.02582736
FBP2,3.666458,-4.9022,0.02217129,0.03553964
LOC105378052,3.665948,-4.900064,0.0151523,0.02516867
PCDHB18P,3.665073,-4.901532,0.01836081,0.02995567
NECTIN4-AS1,3.664812,-4.902318,0.02084837,0.03365144
TRAJ14,3.6645,-3.071284,9.08E-08,3.64E-07
ZNF695,3.664451,-4.582345,0.000266174,0.000624144
LINC02419,3.664381,-4.900404,0.01516991,0.02519679
LINC01708,3.66436,-4.9006,0.01543154,0.02558457
FEZF2,3.663585,-4.901562,0.0176897,0.028975
LINC01365,3.662563,-4.901846,0.01820249,0.02971951
LOC105378937,3.662533,-4.904003,0.02861858,0.04481047
LOC100506664,3.662507,-4.900768,0.01509819,0.02508551
LINC02791,3.662456,-4.902432,0.02055903,0.03322474
MIR548AE1,3.661899,-4.902529,0.02105767,0.03394808
OR4L1,3.661474,-4.900922,0.0149325,0.02483682
LOC105375952,3.661356,-4.805565,0.01173169,0.01997697
