,logFC,logCPM,PValue,FDR
UBE2R2,-3.087354936,4.053389072,6.03E-92,1.09E-89
RNF19B,-4.056829403,3.765050213,9.86E-92,1.77E-89
ALYREF,-3.554247106,1.882481657,2.94E-91,5.27E-89
MSL1,-2.897857648,4.445145115,3.10E-91,5.52E-89
LINGO3,-4.702621497,1.927950285,3.38E-91,6.00E-89
PPP1R14B,-5.094951363,1.31100677,3.69E-91,6.51E-89
IGF2R,-3.356439848,4.717725688,3.87E-91,6.80E-89
UPF1,-2.921336335,4.177837092,4.84E-91,8.46E-89
REPIN1,-3.840042547,3.300372522,5.91E-91,1.03E-88
CUEDC1,-5.831277988,1.745288315,1.08E-90,1.86E-88
IFITM2,-4.211060909,8.160103296,1.59E-90,2.74E-88
CTDSP1,-3.240376648,5.27481194,2.21E-90,3.79E-88
SLC66A2,-4.518613484,2.626045113,4.47E-90,7.64E-88
PDLIM7,-4.534194478,4.450327193,6.69E-90,1.14E-87
PINK1,-5.516462415,2.639199712,1.01E-89,1.70E-87
SECTM1,-8.351739451,5.75918511,1.35E-89,2.27E-87
ALDOA,-3.992127979,2.140953287,1.49E-89,2.50E-87
CCDC85B,-4.532285003,2.887144659,1.99E-89,3.32E-87
OGFRL1,-3.690777123,2.97560073,2.55E-89,4.25E-87
CTDNEP1,-3.656696095,3.406914273,4.61E-89,7.63E-87
TFEB,-4.749343645,3.614527565,4.66E-89,7.68E-87
MKNK2,-3.173180769,5.343349408,5.43E-89,8.90E-87
MID1IP1,-5.502861499,2.631427577,7.04E-89,1.15E-86
PANX2,-6.134315278,1.753916358,7.55E-89,1.23E-86
SMARCD3,-5.11412168,2.87812026,8.98E-89,1.45E-86
ZNF467,-6.498356463,3.572849102,9.53E-89,1.54E-86
DAPK2,-4.825315616,2.241402385,1.97E-88,3.16E-86
APOBR,-5.644820763,5.578144421,2.13E-88,3.40E-86
IP6K1,-2.743665373,3.448717405,2.61E-88,4.15E-86
CYTH4,-3.151176531,6.154814537,3.22E-88,5.10E-86
GNB1,-2.809756333,5.210311011,3.91E-88,6.17E-86
CEBPD,-8.221621812,4.398123187,5.32E-88,8.36E-86
CD7,-2.782367175,4.381245358,6.77E-88,1.06E-85
NFKB2,-4.09721185,4.155836493,1.43E-87,2.22E-85
CLASRP,-3.335203841,3.227278505,1.92E-87,2.98E-85
C11orf68,-3.846637103,2.78466791,2.33E-87,3.61E-85
SH2B1,-2.901045926,3.102874205,2.45E-87,3.76E-85
CTSZ,-7.580715121,5.364517897,3.39E-87,5.19E-85
ZNF598,-3.286763556,2.235941862,6.31E-87,9.63E-85
WBP2,-2.764434281,5.729174562,9.39E-87,1.43E-84
PTOV1,-2.6929068,2.88959868,1.20E-86,1.82E-84
DVL3,-2.953547316,3.041037699,1.69E-86,2.55E-84
SLC4A1,-10.63027613,6.651181492,3.61E-86,5.41E-84
CTDP1,-3.036759433,1.842464668,3.89E-86,5.82E-84
G6PD,-3.955020416,4.572615319,7.35E-85,1.09E-82
CYP4F3,-7.257419668,2.527639063,2.06E-84,3.05E-82
GRK6,-3.023820632,5.215274863,2.09E-84,3.09E-82
LOC105378415,-5.919205924,1.887463419,2.13E-84,3.13E-82
DGKZ,-3.556973712,5.11669296,2.61E-84,3.82E-82
CXCR1,-9.843001697,6.123374273,3.00E-84,4.38E-82
SH3GL1,-3.116454252,3.098621288,3.14E-84,4.57E-82
MFSD12,-3.126986771,2.93051424,3.18E-84,4.60E-82
ZNF580,-3.841778945,2.057351265,3.54E-84,5.09E-82
MAPKAPK2,-3.675555813,3.747987023,3.94E-84,5.64E-82
NATD1,-4.498504194,3.910556398,5.81E-84,8.30E-82
TNIP1,-3.309170312,5.68017841,8.25E-84,1.17E-81
RAC1,-3.225210975,4.541588209,8.40E-84,1.19E-81
AKT1,-2.931634122,3.648307836,1.06E-83,1.49E-81
TRIM56,-3.345096031,5.107239559,2.03E-83,2.86E-81
GFER,-3.300870212,1.465696094,3.35E-83,4.68E-81
PRR12,-3.585518117,2.421219407,1.02E-82,1.43E-80
RPS6KA4,-5.070475066,3.217364003,1.54E-82,2.14E-80
ORAI1,-6.553915643,-0.677552559,2.14E-82,2.96E-80
E2F4,-2.644950237,3.73886056,2.67E-82,3.68E-80
TLR6,-5.039005285,2.675264742,4.83E-82,6.64E-80
NCF1B,-7.13255316,4.5823531,5.50E-82,7.53E-80
PHF23,-4.276592942,2.625392301,6.58E-82,8.98E-80
TSR3,-4.225826103,1.95480008,8.26E-82,1.12E-79
MME,-6.18121685,3.557936309,8.87E-82,1.20E-79
TSC22D4,-3.969384189,2.738510442,9.81E-82,1.32E-79
RENBP,-4.894038057,1.802947222,1.35E-81,1.82E-79
BRD4,-2.19509492,4.342769905,1.38E-81,1.84E-79
AGPAT2,-3.80560723,2.856152428,1.74E-81,2.33E-79
STRN4,-2.689353531,3.831328523,2.24E-81,2.98E-79
RAB5IF,-5.01238375,1.69392836,2.78E-81,3.69E-79
TLNRD1,-3.552040595,2.146920308,3.12E-81,4.12E-79
BICRA,-3.167033072,1.517312428,3.20E-81,4.21E-79
