,logFC,logCPM,PValue,FDR
RAB31,1.800253836,6.518821227,1.55E-12,9.12E-11
ANKS1A,1.94883523,4.457530026,1.58E-12,9.26E-11
FRMD4B,2.607839709,3.447737443,1.77E-12,1.03E-10
TET3,1.702059961,4.647361576,1.81E-12,1.05E-10
PPP4R2,2.127271051,3.92436485,1.85E-12,1.07E-10
FNIP1,1.712661363,4.339713085,1.93E-12,1.11E-10
PECR,1.80445052,2.760040206,2.13E-12,1.21E-10
RBM47,2.194123981,5.851874063,2.19E-12,1.23E-10
MED13L,1.835697259,5.287474866,2.28E-12,1.28E-10
RSBN1,1.609687965,3.902359791,2.41E-12,1.34E-10
RAB3GAP2,1.556346889,3.353421877,2.43E-12,1.35E-10
MAP3K1,2.089303908,5.210393899,2.49E-12,1.37E-10
ASAP1,1.746990929,6.1401361,2.65E-12,1.46E-10
SLC1A3,4.707177417,2.534554785,2.78E-12,1.52E-10
HIP1,2.58259925,5.987796095,3.03E-12,1.65E-10
WDR37,1.35625124,4.386838776,3.20E-12,1.73E-10
JAK2,1.701419208,4.708093291,3.36E-12,1.81E-10
YTHDF3,1.482250929,4.275801849,3.39E-12,1.83E-10
ZKSCAN1,1.230285958,4.393025412,3.44E-12,1.84E-10
TLR5,2.267182646,5.307089716,3.45E-12,1.84E-10
APPL2,1.465227425,3.886156085,3.50E-12,1.86E-10
SLC36A1,2.108102083,5.271507359,3.53E-12,1.87E-10
NFKBIZ,1.747626507,4.852945367,3.59E-12,1.90E-10
AREL1,1.409036806,5.070652947,3.66E-12,1.93E-10
TSHZ3,2.350735777,3.743619949,3.74E-12,1.96E-10
IL1RAP,2.917976286,5.012869408,3.78E-12,1.97E-10
HS3ST3B1,1.927245895,2.913303629,3.84E-12,2.00E-10
TBC1D8,2.263661082,5.163265758,3.96E-12,2.04E-10
FOXN2,1.707951571,3.856710325,4.21E-12,2.16E-10
TCAIM,1.736912676,2.760175167,4.37E-12,2.24E-10
NT5C2,1.471508218,5.065724918,4.53E-12,2.30E-10
TMOD3,1.411641869,4.752993522,4.54E-12,2.30E-10
HK3,2.162543737,8.571174465,4.83E-12,2.42E-10
CARD6,1.738720434,4.75665852,4.85E-12,2.42E-10
RTN4,1.614274489,5.934299289,4.92E-12,2.45E-10
FEM1C,1.549083808,3.397661033,4.92E-12,2.45E-10
ACTR2,1.5923751,7.283584587,4.96E-12,2.46E-10
PPP1R12A,1.888867603,5.504607163,5.72E-12,2.80E-10
CMTM1,2.211449852,2.965478033,5.80E-12,2.83E-10
ANKRD33B,2.047736372,2.051885308,6.23E-12,3.01E-10
ZNF516,1.653355592,5.413272912,6.24E-12,3.01E-10
WASHC4,1.626045462,4.530036002,6.51E-12,3.12E-10
C16orf72,1.430836707,5.995075775,6.61E-12,3.14E-10
VNN1,3.127797908,6.584144278,6.68E-12,3.17E-10
PIK3CB,1.619694294,3.952932228,6.74E-12,3.18E-10
NCOA2,1.640401518,4.449650047,6.82E-12,3.21E-10
RAB21,1.26789342,4.225644583,7.10E-12,3.33E-10
HK2,2.252760208,4.98488515,7.17E-12,3.36E-10
PEAK1,1.649536468,2.754948318,7.39E-12,3.45E-10
RABGEF1,1.684803608,4.074372106,7.96E-12,3.65E-10
QSOX1,1.926191757,6.47175829,8.34E-12,3.81E-10
SKAP2,1.754148033,5.839770803,8.67E-12,3.95E-10
STRN,1.448000386,3.952208796,9.05E-12,4.09E-10
ASXL2,1.569345405,4.050666718,9.13E-12,4.11E-10
FNDC3A,1.675160391,3.471190268,9.31E-12,4.18E-10
IL17RA,1.751951688,8.46521025,1.06E-11,4.71E-10
KAT6A,1.852137981,5.947655564,1.08E-11,4.80E-10
B3GNT2,1.887493387,3.180044422,1.11E-11,4.91E-10
KMT2C,1.770411557,5.036735521,1.11E-11,4.91E-10
MSL3,1.435681642,6.033287536,1.16E-11,5.10E-10
IL4R,2.030041774,8.038247716,1.17E-11,5.10E-10
REL,1.384015758,4.309380947,1.18E-11,5.13E-10
EMILIN2,1.9973878,6.530276983,1.19E-11,5.17E-10
MTMR3,1.530598912,6.866267839,1.23E-11,5.29E-10
FOSL2,1.896425916,7.084201447,1.24E-11,5.35E-10
AFF4,1.527112161,3.819042041,1.33E-11,5.71E-10
FAM126B,2.038586374,5.026581601,1.41E-11,5.97E-10
BCORL1,1.855985836,3.787261879,1.41E-11,5.97E-10
IQGAP1,1.81333076,8.09870985,1.43E-11,6.01E-10
MMP25-AS1,1.930837718,5.857053453,1.44E-11,6.04E-10
ENTPD1,1.51811743,6.069166868,1.45E-11,6.06E-10
PDGFC,3.776368533,1.101773686,1.52E-11,6.32E-10
LPCAT2,1.958893343,5.216258589,1.64E-11,6.79E-10
SVIL,2.144490681,5.496444167,1.73E-11,7.09E-10
GPR160,2.218019642,3.065726824,1.74E-11,7.11E-10
OTUD1,1.9034214,3.393078065,1.85E-11,7.52E-10
F5,2.563597399,6.120096955,1.91E-11,7.74E-10
RC3H1,1.34946452,4.589417394,1.91E-11,7.74E-10
CEP350,1.324305846,3.930691571,2.00E-11,8.00E-10
NUMB,1.761650404,7.002340368,2.00E-11,8.00E-10
GSR,1.516766714,5.391334598,2.01E-11,8.04E-10
SLMAP,1.541360379,3.772599659,2.13E-11,8.44E-10
ANP32A-IT1,2.302889792,1.55486403,2.16E-11,8.56E-10
CCPG1,1.856492408,3.099229177,2.22E-11,8.74E-10
PRDM10,1.73004065,2.41231833,2.49E-11,9.74E-10
RNF144B,1.985650688,4.745146727,2.52E-11,9.80E-10
MAP3K8,1.353713573,3.903271549,2.60E-11,1.01E-09
KIAA0232,1.388629754,4.857582349,2.62E-11,1.01E-09
HEATR5A,1.616674195,2.323395876,2.70E-11,1.04E-09
CLASP1,1.231301041,4.241518086,2.95E-11,1.13E-09
EXOC6,1.74069758,3.800215226,2.95E-11,1.13E-09
KBTBD7,2.191395407,2.8359467,3.04E-11,1.16E-09
TLR1,1.704966342,6.314242272,3.17E-11,1.20E-09
ADAM10,1.303097806,5.470633683,3.20E-11,1.21E-09
BMX,3.729585243,3.691962142,3.23E-11,1.22E-09
DAAM2,5.623512725,3.597229258,3.25E-11,1.22E-09
DYSF,2.363921337,9.075148337,3.26E-11,1.23E-09
ZEB2,1.530705152,5.841897516,3.29E-11,1.23E-09
PYGL,2.288118293,8.222605606,3.34E-11,1.25E-09
CPNE3,1.367495011,4.252780672,3.46E-11,1.28E-09
FBXO11,1.348480725,4.574818493,3.50E-11,1.30E-09
SLC49A4,1.814079475,3.348980468,3.66E-11,1.34E-09
TLR8,2.07359652,6.652111744,3.85E-11,1.41E-09
UNC5A,2.43531027,1.927559554,3.89E-11,1.42E-09
SLC38A2,1.525080938,4.887309512,3.90E-11,1.42E-09
DSE,1.742943699,4.100295731,3.91E-11,1.42E-09
IFNAR1,1.616388814,6.096680869,4.03E-11,1.46E-09
ITSN2,1.305957065,5.390282196,4.15E-11,1.49E-09
MGAM2,5.541131599,0.510468002,4.60E-11,1.64E-09
ATP6V1A,1.592103053,4.772206115,4.79E-11,1.69E-09
ACAP2,1.569684889,5.159251402,4.85E-11,1.71E-09
MCEMP1,3.463000813,7.157140075,4.97E-11,1.75E-09
RIT1,1.277329294,4.478172731,5.02E-11,1.76E-09
SAMD8,1.446842584,3.683216934,5.11E-11,1.79E-09
RGL4,2.091555948,5.919231339,5.12E-11,1.79E-09
PRKAR1A,2.058079292,5.504206379,5.25E-11,1.83E-09
LOC105374304,3.406827486,3.072653525,5.32E-11,1.84E-09
SMG1,1.421385633,5.340559212,5.40E-11,1.86E-09
CACUL1,1.261592469,4.583566852,5.46E-11,1.88E-09
CLTC,1.351846663,6.147749722,5.52E-11,1.89E-09
LYST,1.386403528,6.19499313,5.83E-11,1.98E-09
ATP2B4,1.715914249,6.042611779,5.98E-11,2.02E-09
NEK6,1.870742653,4.262230113,6.00E-11,2.03E-09
GPAT3,2.20507758,4.719493474,6.03E-11,2.03E-09
TNFSF4,1.533997774,2.581634404,6.31E-11,2.12E-09
LRRN1,4.090191882,2.235681329,6.72E-11,2.24E-09
LATS2,1.628245859,2.96507451,6.78E-11,2.25E-09
NCBP3,1.116644767,4.174493654,6.86E-11,2.27E-09
SOCS3,2.441209322,6.702113895,6.95E-11,2.29E-09
NIBAN1,2.209403126,8.45797211,7.15E-11,2.35E-09
RCOR1,1.585082727,4.621923769,7.18E-11,2.35E-09
KDM3B,1.363578161,5.901090801,7.21E-11,2.36E-09
SBF2,1.645779752,3.769050631,7.48E-11,2.44E-09
SGTB,1.469657578,3.472156649,7.49E-11,2.44E-09
ELMO2,1.387855211,5.441235496,7.70E-11,2.50E-09
SCYL2,1.403855245,3.611973428,8.02E-11,2.60E-09
SNTB2,1.434786475,3.471523818,8.06E-11,2.61E-09
MTMR6,1.323500155,3.545116272,8.10E-11,2.61E-09
MAML3,2.091283224,3.566589422,8.15E-11,2.62E-09
PTPRJ,1.708088809,7.094657698,8.20E-11,2.62E-09
APMAP,1.640934154,7.396942437,8.26E-11,2.64E-09
MYO10,2.971423529,2.199265393,8.34E-11,2.66E-09
CEBPB,1.784715935,6.817135967,8.35E-11,2.66E-09
GNS,1.644423049,6.844699223,8.56E-11,2.71E-09
CSNK1A1L,3.437832646,-0.318772064,8.70E-11,2.75E-09
TMEM260,1.664871154,3.882243282,8.90E-11,2.81E-09
FHIP1B,1.422060773,5.632429259,8.97E-11,2.82E-09
MED23,1.466017532,3.485234236,8.98E-11,2.82E-09
MIR223HG,1.909420689,6.999561414,9.03E-11,2.82E-09
EXOC8,1.583210885,3.06532977,9.68E-11,3.02E-09
RNF111,1.479905093,4.021287573,1.02E-10,3.16E-09
