,logFC,logCPM,PValue,FDR
SNORD99,1.047768258,0.039309707,0.000538139,0.024501759
LOC101928093,1.211852975,-1.29185055,0.000553037,0.024954004
ZNF235,0.730163366,0.185464078,0.000556018,0.024954004
OPA3,0.516852089,1.391693997,0.000556381,0.024954004
LOC102723345,2.272733921,-1.063145142,0.000557876,0.024954004
ZNF419,0.797156405,0.047295282,0.000567053,0.025209041
LOC728989,1.862963472,-1.657317238,0.000567425,0.025209041
ZNF160,0.480939004,2.295003767,0.000575373,0.025304813
ZNF559,0.832327242,1.71429392,0.000597906,0.02586188
LINC01128,0.654887183,1.400225745,0.00060418,0.026047324
ARHGAP32,0.832704807,1.065711828,0.000623107,0.026514408
HS3ST3B1,0.818015886,2.369480341,0.000634744,0.026787075
ZNF585A,0.565213401,1.210320599,0.000642236,0.026787075
NUP42,0.48800669,1.207728421,0.000647518,0.026787075
BTLA,0.824418628,1.175108303,0.000650118,0.026793843
HSD17B7P2,0.849169428,-0.710776279,0.000653746,0.026858914
CSRNP2,0.663847377,1.511231236,0.000665678,0.027178724
PRPF6,0.444155946,4.25459426,0.000676106,0.027466737
ARRDC3,0.651477536,4.558395711,0.000676923,0.027466737
GGPS1,0.474122814,2.080194109,0.000679539,0.027487759
ZNF737,0.620896519,0.615030345,0.000685956,0.027661955
COQ10A,0.7022123,0.752090713,0.00069176,0.027810436
ORC5,0.447715959,1.870786157,0.000703072,0.028092864
ATXN2,0.544032199,2.251783127,0.000706205,0.028132287
TIA1,0.40987885,3.554521406,0.000709379,0.028173087
PCGF6,0.811530592,-0.189562651,0.000721218,0.028453767
EFCAB13,0.707621298,0.080299687,0.000723263,0.028453767
EGR1,0.912753102,3.312813737,0.000730557,0.028470292
PEG13,0.78131426,1.239882793,0.0007397,0.028608599
PNPLA4,0.730984293,-0.315967304,0.00073999,0.028608599
RBM28,0.427527066,2.644229056,0.000746302,0.028683387
IVNS1ABP,0.583952451,4.794364185,0.000760637,0.029148837
KIFBP,0.81005015,0.379838787,0.000763042,0.029155775
RUNX1-IT1,0.725212799,1.658293954,0.000770367,0.029264997
NCBP2,0.384345577,3.232504295,0.000773481,0.029278989
ZSCAN26,0.550084601,1.302634082,0.000776253,0.029278989
PYGO2,0.572862526,1.787174506,0.000785936,0.029346107
PPP1R35-AS1,1.021032424,-1.056956711,0.000792888,0.029521571
ZNF771,1.088576114,-1.254253437,0.000805962,0.029687576
ING1,0.554912082,1.248829787,0.000806408,0.029687576
GCDH,0.433187807,2.405463078,0.000816227,0.029797983
WSB1,0.41503557,4.495723652,0.000829513,0.02985253
TBC1D10A,0.489719736,2.542314898,0.000845256,0.030127369
GAN,0.452952169,1.868819256,0.000847875,0.030127369
UFL1-AS1,0.581598705,0.072327572,0.000848462,0.030127369
LINC02295,1.368396432,-0.421760309,0.000852821,0.030127369
MTG2,0.497703685,1.860962183,0.000870485,0.030656059
ABLIM1,0.492980705,5.345217051,0.000874552,0.030656059
ZNF397,0.492717085,1.816011983,0.000876517,0.030656059
SLC10A1,0.86434758,0.995772582,0.00088031,0.030656059
CHI3L2,0.990228699,1.438826271,0.000902597,0.031294816
OAT,0.671328335,2.940449431,0.000911856,0.031460745
SSTR3,0.763482179,0.647954419,0.000922468,0.031731941
PDCD4-AS1,0.775042376,0.646732385,0.000928462,0.031733201
SH3YL1,0.583698106,3.020051185,0.000932228,0.031733201
ZSCAN32,0.633916551,1.115356709,0.000941875,0.031733201
ERLIN1,0.746207598,0.795081752,0.000948437,0.031778432
CFAP36,0.488859819,2.274486558,0.00094989,0.031778432
RASD1,1.391246264,-1.129889619,0.000950807,0.031778432
SNORD47,0.720900867,-0.377729093,0.000952917,0.031778432
KBTBD7,0.679386845,0.477136843,0.000955816,0.031794225
ZFP62,0.475775273,2.628803377,0.000981755,0.032410269
PGBD2,0.855609377,0.605917907,0.000987505,0.032452119
MSH6,0.532489629,2.319242882,0.000988734,0.032452119
PLRG1,0.428387485,2.868905844,0.000996179,0.032452119
RBM23,0.382083462,3.511268147,0.000997879,0.032452119
MSH2,0.564467095,2.129475066,0.001014855,0.032679811
DDX5,0.428783069,8.438729618,0.001029828,0.03291933
USP21,0.557704388,1.959523396,0.001035964,0.033034903
IPCEF1,0.432829288,4.160881911,0.00104604,0.033116584
PDE4DIP,0.578650096,1.702133893,0.001046106,0.033116584
CWC22,0.430856873,2.575557521,0.001052012,0.033223311
TMCO6,0.577861347,1.694108447,0.001087147,0.033924169
INSIG2,0.457623414,1.497894964,0.001090746,0.03395563
PODXL,0.772312991,-0.764480992,0.00109453,0.03397801
SFI1,0.386902325,4.394556207,0.001111898,0.034120115
EPHX2,0.639175958,3.176129306,0.001115661,0.034120115
PREB,0.72217841,1.679133739,0.001120128,0.034120115
NPRL2,0.338338837,3.790183323,0.00112135,0.034120115
CDKN2AIP,0.615634206,3.114166692,0.001124463,0.034120115
NOP2,0.371538126,3.352113601,0.001125443,0.034120115
NEK4,0.553280487,1.212794444,0.001127271,0.034120115
LOC107986455,1.178343471,0.622984402,0.001136529,0.034242192
ACOT13,0.473276403,1.496710794,0.001140554,0.034284625
TNFAIP8,0.453379333,4.114984339,0.001143273,0.034287712
MMACHC,0.613700219,-0.254381395,0.001160407,0.034401757
GRAP,0.674081388,-0.34889719,0.001161213,0.034401757
PREPL,0.442242905,1.919873168,0.001164052,0.034401757
DPH5,0.419082887,2.984462146,0.001170979,0.034487303
TULP2,1.0088222,-0.071625213,0.001184629,0.0346557
MIRLET7BHG,0.826856829,-0.802022095,0.001203025,0.035115473
SERPINE3,1.183992746,-0.591793898,0.001219601,0.035284983
ZNF544,0.453083722,2.868822196,0.001229052,0.035480078
